[Fiducials]
FM1,1.9600,0.1400,0.0000
FM2,0.7100,0.1700,0.0000
FM3,0.1400,2.3600,0.0000

[Placements]
C1,C-0603-2.2uF,1.9700,2.1000,90.0000
C2,C-0402-0.1uF,2.3750,1.9600,0.0000
C3,C-0603-2.2uF,2.0750,1.8300,0.0000
C4,C-0603-0.47uF,1.9600,1.9500,90.0000
C5,C-0805-10uF,2.2450,2.1250,180.0000
C6,C-1206-10uF,1.0250,2.0150,0.0000
C7,C-0402-10nF,1.3500,1.5400,180.0000
C8,C-0603-0.47uF,1.3350,1.8400,90.0000
C9,C-0603-470pF,1.1850,2.1400,180.0000
C10,C-0603-10pF,1.3600,1.6900,180.0000
C11,C-0805-10uF,1.5850,1.7900,0.0000
C12,C-0402-1uF,1.8180,0.8000,90.0000
C13,C-0402-1uF,2.0300,0.4250,180.0000
C15,C-0402-1uF,1.8500,0.4800,180.0000
C16,C-0402-1uF,1.9200,0.7000,270.0000
C17,C-0402-1uF,2.0300,0.3800,180.0000
C18,C-0402-1uF,1.9200,0.5700,90.0000
C19,C-0402-1uF,1.8600,0.8000,90.0000
C20,C-XXXX-150uF,1.5650,1.6150,180.0000
C21,C-0402-0.1uF,1.6100,1.0100,90.0000
C22,C-1206-10uF,1.1000,0.5500,0.0000
C23,C-0402-1uF,2.3850,1.9050,0.0000
C24,C-0402-0.1uF,1.5950,0.3550,270.0000
C25,C-0402-10nF,1.4880,0.3700,180.0000
C26,C-0805-10uF,1.6600,0.3050,270.0000
C27,C-0402-0.1uF,1.5500,0.3550,270.0000
C28,C-0402-0.1uF,1.6680,0.4100,0.0000
C29,C-0402-0.1uF,1.0050,1.9100,0.0000
C30,C-0402-0.1uF,1.6610,0.4680,90.0000
C46,C-0402-1uF,1.5000,0.8200,90.0000
C47,C-0402-1uF,1.4100,0.9300,0.0000
D1,12V,0.8500,1.6750,270.0000
D2,,1.8550,2.0250,90.0000
D3,B340,1.2600,2.0150,180.0000
D4,,1.9700,1.4050,0.0000
D5,18V,0.5750,1.3050,90.0000
D6,B340,0.5000,2.1000,270.0000
D8,15V,2.4100,2.1550,0.0000
F1,500mA,1.1350,0.7550,270.0000
IC1,LT3474,2.1700,1.9750,270.0000
IC2,LT3976,1.1350,1.7900,90.0000
IC3,ADS1015,1.8350,0.6350,0.0000
IC16,MAX3373,1.4100,0.8200,180.0000
L1,SRN4018TA-6R8M,1.9050,1.7850,0.0000
L2,2.2uH,1.5850,2.0150,270.0000
Q1,IPB120N04S402ATMA1,0.9500,1.2500,180.0000
R1,R-0603-10k,0.9500,1.5250,90.0000
R2,R-0603-2.2k,0.3400,2.0250,270.0000
R3,R-0603-2.2k,0.8600,1.7750,0.0000
R4,R-0805-0,1.2300,1.3150,90.0000
R5,R-0603-470k,2.4100,1.8550,180.0000
R6,R-0603-33k,2.2450,1.8300,0.0000
R7,R-0603-33k,2.3950,2.0100,180.0000
R8,R-0603-100k,2.0100,1.2700,0.0000
R9,R-0603-14.7k,0.9850,1.7100,90.0000
R10,R-0603-2.2,1.3350,2.1400,0.0000
R11,R-0603-1MEG,1.3600,1.6150,0.0000
R12,R-0603-316k,1.2600,1.6400,90.0000
R13,R-0402-3.3k,1.3700,0.7200,0.0000
R14,R-0402-3.3k,1.3100,0.8900,180.0000
R15,R-0402-3.3k,1.8500,0.4380,0.0000
R16,R-0402-3.3k,1.9620,0.7000,90.0000
R17,R-0603-10k,1.9100,0.3360,90.0000
R18,R-0402-300,2.0100,1.3300,180.0000
R19,R-0603-10k,0.4000,2.0250,270.0000
R20,R-0402-3.3k,0.4000,2.1500,270.0000
R21,R-0603-10k,1.5500,1.0400,270.0000
R22,R-0603-100,2.0100,1.0900,0.0000
R23,R-0603-100,2.0100,1.1500,0.0000
R24,R-0603-100,2.0100,1.2100,0.0000
R25,R-0402-300,1.4850,0.6100,90.0000
R26,R-0402-300,1.4350,0.6100,90.0000
R27,R-0402-300,1.4000,0.5450,180.0000
R28,R-0402-300,1.5850,0.6100,90.0000
R29,R-0402-300,1.5350,0.6100,90.0000
R30,R-0603-10k,1.7500,0.4750,180.0000
R31,R-0402-300,1.5800,1.3200,90.0000
R51,R-0603-10k,1.7410,0.5870,270.0000
R65,R-0402-3.3k,1.5000,0.7600,0.0000
R66,R-0402-3.3k,1.5000,0.8900,0.0000
T1,2N7002,1.5500,1.1800,180.0000
U1,,1.7700,1.1600,90.0000
U6,LSM9DS1,1.5250,0.4650,180.0000
X1,PASSIVE0603,1.7670,0.8260,90.0000
X2,PASSIVE0603,2.0100,0.4800,180.0000
X3,PASSIVE0603,2.0100,0.3300,180.0000
